HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
342,OR- EUGENE,81.71,14,13,20,80.51,84.51,14 [13 - 20],81.71% [80.51% - 84.51%],05-18-2020
343,OR- MEDFORD,80.86,7,7,10,80.21,82.69,7 [7 - 10],80.86% [80.21% - 82.69%],05-18-2020
344,OR- PORTLAND,82.44,124,111,151,80.84,85.79,124 [111 - 151],82.44% [80.84% - 85.79%],05-18-2020
345,OR- SALEM,82.89,9,8,12,80.69,87.57,9 [8 - 12],82.89% [80.69% - 87.57%],05-18-2020
346,PA- ALLENTOWN,81.61,49,45,61,80.54,84.24,49 [45 - 61],81.61% [80.54% - 84.24%],05-18-2020
347,PA- ALTOONA,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
350,PA- DANVILLE,80.01,0,0,2,80.0,80.66,0 [0 - 2],80.01% [80.0% - 80.66%],05-18-2020
351,PA- ERIE,80.09,0,0,3,80.0,80.9,0 [0 - 3],80.09% [80.0% - 80.9%],05-18-2020
352,PA- HARRISBURG,80.99,21,19,27,80.35,82.58,21 [19 - 27],80.99% [80.35% - 82.58%],05-18-2020
354,PA- JOHNSTOWN,80.01,0,0,0,80.0,80.0,0 [0 - 0],80.01% [80.0% - 80.0%],05-18-2020
355,PA- LANCASTER,81.23,13,13,16,80.59,83.27,13 [13 - 16],81.23% [80.59% - 83.27%],05-18-2020
356,PA- PHILADELPHIA,81.3,157,143,194,80.55,83.24,157 [143 - 194],81.3% [80.55% - 83.24%],05-18-2020
357,PA- PITTSBURGH,80.22,23,20,35,80.03,80.88,23 [20 - 35],80.22% [80.03% - 80.88%],05-18-2020
358,PA- READING,80.84,7,7,12,80.35,82.88,7 [7 - 12],80.84% [80.35% - 82.88%],05-18-2020
359,PA- SAYRE,80.0,0,0,2,80.0,81.49,0 [0 - 2],80.0% [80.0% - 81.49%],05-18-2020
360,PA- SCRANTON,80.75,0,0,4,80.0,82.95,0 [0 - 4],80.75% [80.0% - 82.95%],05-18-2020
362,PA- WILKES-BARRE,80.59,0,0,2,80.0,82.29,0 [0 - 2],80.59% [80.0% - 82.29%],05-18-2020
363,PA- YORK,82.43,14,13,18,81.08,84.69,14 [13 - 18],82.43% [81.08% - 84.69%],05-18-2020
364,RI- PROVIDENCE,86.11,188,168,226,81.95,93.83,188 [168 - 226],86.11% [81.95% - 93.83%],05-18-2020
365,SC- CHARLESTON,82.35,69,64,90,81.07,86.72,69 [64 - 90],82.35% [81.07% - 86.72%],05-18-2020
366,SC- COLUMBIA,83.69,136,124,176,81.55,90.46,136 [124 - 176],83.69% [81.55% - 90.46%],05-18-2020
367,SC- FLORENCE,81.52,14,13,22,80.45,85.37,14 [13 - 22],81.52% [80.45% - 85.37%],05-18-2020
368,SC- GREENVILLE,82.46,53,50,70,81.17,86.65,53 [50 - 70],82.46% [81.17% - 86.65%],05-18-2020
369,SC- SPARTANBURG,81.98,18,17,25,80.85,85.66,18 [17 - 25],81.98% [80.85% - 85.66%],05-18-2020
370,SD- RAPID CITY,80.0,0,0,1,80.0,81.74,0 [0 - 1],80.0% [80.0% - 81.74%],05-18-2020
371,SD- SIOUX FALLS,81.86,49,44,71,80.43,86.45,49 [44 - 71],81.86% [80.43% - 86.45%],05-18-2020
373,TN- CHATTANOOGA,81.49,31,28,37,80.27,83.21,31 [28 - 37],81.49% [80.27% - 83.21%],05-18-2020
374,TN- JACKSON,80.27,0,0,3,80.0,81.48,0 [0 - 3],80.27% [80.0% - 81.48%],05-18-2020
375,TN- JOHNSON CITY,80.89,7,6,9,80.0,82.55,7 [6 - 9],80.89% [80.0% - 82.55%],05-18-2020
376,TN- KINGSPORT,80.18,0,0,6,80.0,81.86,0 [0 - 6],80.18% [80.0% - 81.86%],05-18-2020
377,TN- KNOXVILLE,80.47,17,15,27,80.07,82.01,17 [15 - 27],80.47% [80.07% - 82.01%],05-18-2020
379,TN- MEMPHIS,82.26,139,123,169,80.52,85.08,139 [123 - 169],82.26% [80.52% - 85.08%],05-18-2020
380,TN- NASHVILLE,83.25,275,247,354,81.03,89.01,275 [247 - 354],83.25% [81.03% - 89.01%],05-18-2020
382,TX- ABILENE,80.77,7,7,11,80.0,82.11,7 [7 - 11],80.77% [80.0% - 82.11%],05-18-2020
383,TX- AMARILLO,80.86,10,9,15,80.27,82.66,10 [9 - 15],80.86% [80.27% - 82.66%],05-18-2020
385,TX- AUSTIN,92.43,432,388,517,84.6,106.96,432 [388 - 517],92.43% [84.6% - 106.96%],05-18-2020
386,TX- BEAUMONT,82.78,35,32,44,81.02,86.28,35 [32 - 44],82.78% [81.02% - 86.28%],05-18-2020
388,TX- BRYAN,88.66,49,44,59,82.29,98.3,49 [44 - 59],88.66% [82.29% - 98.3%],05-18-2020
390,TX- CORPUS CHRISTI,81.72,32,29,41,80.39,84.24,32 [29 - 41],81.72% [80.39% - 84.24%],05-18-2020
391,TX- DALLAS,87.33,1042,939,1234,82.87,94.96,1042 [939 - 1234],87.33% [82.87% - 94.96%],05-18-2020
393,TX- EL PASO,83.07,81,74,98,81.13,86.56,81 [74 - 98],83.07% [81.13% - 86.56%],05-18-2020
394,TX- FORT WORTH,88.69,432,390,515,83.32,98.63,432 [390 - 515],88.69% [83.32% - 98.63%],05-18-2020
396,TX- HARLINGEN,82.44,31,28,40,80.85,85.64,31 [28 - 40],82.44% [80.85% - 85.64%],05-18-2020
397,TX- HOUSTON,85.39,1172,1053,1402,82.13,91.01,1172 [1053 - 1402],85.39% [82.13% - 91.01%],05-18-2020
399,TX- LONGVIEW,83.32,19,17,25,80.87,87.58,19 [17 - 25],83.32% [80.87% - 87.58%],05-18-2020
400,TX- LUBBOCK,82.13,47,43,61,80.59,85.31,47 [43 - 61],82.13% [80.59% - 85.31%],05-18-2020
402,TX- MCALLEN,82.27,32,29,40,80.69,85.11,32 [29 - 40],82.27% [80.69% - 85.11%],05-18-2020
406,TX- ODESSA,81.53,14,14,19,80.7,83.1,14 [14 - 19],81.53% [80.7% - 83.1%],05-18-2020
411,TX- SAN ANGELO,80.72,0,0,2,80.0,81.6,0 [0 - 2],80.72% [80.0% - 81.6%],05-18-2020
412,TX- SAN ANTONIO,93.09,971,874,1134,84.8,106.63,971 [874 - 1134],93.09% [84.8% - 106.63%],05-18-2020
413,TX- TEMPLE,88.74,79,71,95,82.88,99.06,79 [71 - 95],88.74% [82.88% - 99.06%],05-18-2020
416,TX- TYLER,84.08,63,56,81,81.06,90.47,63 [56 - 81],84.08% [81.06% - 90.47%],05-18-2020
417,TX- VICTORIA,82.34,14,13,18,80.52,84.69,14 [13 - 18],82.34% [80.52% - 84.69%],05-18-2020
418,TX- WACO,91.64,65,58,79,83.35,103.95,65 [58 - 79],91.64% [83.35% - 103.95%],05-18-2020
420,TX- WICHITA FALLS,82.71,17,15,22,80.58,87.39,17 [15 - 22],82.71% [80.58% - 87.39%],05-18-2020
421,UT- OGDEN,83.11,21,20,28,81.1,88.77,21 [20 - 28],83.11% [81.1% - 88.77%],05-18-2020
422,UT- PROVO,82.8,21,20,29,81.0,87.98,21 [20 - 29],82.8% [81.0% - 87.98%],05-18-2020
423,UT- SALT LAKE CITY,81.87,72,66,96,80.78,85.57,72 [66 - 96],81.87% [80.78% - 85.57%],05-18-2020
424,VT- BURLINGTON,80.45,3,2,12,80.0,84.04,3 [2 - 12],80.45% [80.0% - 84.04%],05-18-2020
426,VA- ARLINGTON,109.39,847,781,1029,95.49,148.54,847 [781 - 1029],109.39% [95.49% - 148.54%],05-18-2020
427,VA- CHARLOTTESVILLE,86.45,86,76,122,81.5,101.67,86 [76 - 122],86.45% [81.5% - 101.67%],05-18-2020
428,VA- LYNCHBURG,81.0,4,3,12,80.0,87.45,4 [3 - 12],81.0% [80.0% - 87.45%],05-18-2020
429,VA- NEWPORT NEWS,93.0,145,132,202,84.83,123.11,145 [132 - 202],93.0% [84.83% - 123.11%],05-18-2020
430,VA- NORFOLK,89.1,242,220,334,83.69,108.41,242 [220 - 334],89.1% [83.69% - 108.41%],05-18-2020
431,VA- RICHMOND,87.97,371,330,520,82.96,106.68,371 [330 - 520],87.97% [82.96% - 106.68%],05-18-2020
432,VA- ROANOKE,80.71,17,13,31,80.0,83.19,17 [13 - 31],80.71% [80.0% - 83.19%],05-18-2020
435,VA- WINCHESTER,86.92,61,55,80,82.14,98.11,61 [55 - 80],86.92% [82.14% - 98.11%],05-18-2020
437,WA- EVERETT,106.18,210,192,241,90.35,132.13,210 [192 - 241],106.18% [90.35% - 132.13%],05-18-2020
438,WA- OLYMPIA,95.08,99,90,119,85.19,114.67,99 [90 - 119],95.08% [85.19% - 114.67%],05-18-2020
439,WA- SEATTLE,96.38,888,811,1019,86.54,113.11,888 [811 - 1019],96.38% [86.54% - 113.11%],05-18-2020
440,WA- SPOKANE,84.54,168,150,209,81.28,91.36,168 [150 - 209],84.54% [81.28% - 91.36%],05-18-2020
441,WA- TACOMA,101.68,263,240,304,88.23,124.58,263 [240 - 304],101.68% [88.23% - 124.58%],05-18-2020
442,WA- YAKIMA,87.68,40,37,51,82.59,99.69,40 [37 - 51],87.68% [82.59% - 99.69%],05-18-2020
443,WV- CHARLESTON,80.0,0,0,0,80.0,80.16,0 [0 - 0],80.0% [80.0% - 80.16%],05-18-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
445,WV- MORGANTOWN,80.0,0,0,1,80.0,80.34,0 [0 - 1],80.0% [80.0% - 80.34%],05-18-2020
446,WI- APPLETON,83.41,16,14,22,80.97,89.56,16 [14 - 22],83.41% [80.97% - 89.56%],05-18-2020
447,WI- GREEN BAY,81.41,21,20,28,80.44,84.12,21 [20 - 28],81.41% [80.44% - 84.12%],05-18-2020
448,WI- LA CROSSE,82.69,24,22,31,80.73,87.75,24 [22 - 31],82.69% [80.73% - 87.75%],05-18-2020
449,WI- MADISON,85.34,157,143,192,81.86,92.56,157 [143 - 192],85.34% [81.86% - 92.56%],05-18-2020
450,WI- MARSHFIELD,80.88,7,7,12,80.0,83.4,7 [7 - 12],80.88% [80.0% - 83.4%],05-18-2020
451,WI- MILWAUKEE,85.89,483,440,580,82.4,93.39,483 [440 - 580],85.89% [82.4% - 93.39%],05-18-2020
452,WI- NEENAH,84.22,21,19,26,81.08,90.22,21 [19 - 26],84.22% [81.08% - 90.22%],05-18-2020
456,WI- WAUSAU,80.62,0,0,2,80.18,82.83,0 [0 - 2],80.62% [80.18% - 82.83%],05-18-2020
457,WY- CASPER,80.46,0,0,2,80.0,81.71,0 [0 - 2],80.46% [80.0% - 81.71%],05-18-2020
303,NY- NEW YORK,86.92,911,819,1112,82.32,96.29,911 [819 - 1112],86.92% [82.32% - 96.29%],05-18-2020
