HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
342,OR- EUGENE,81.61,14,13,20,80.34,84.85,14 [13 - 20],81.61% [80.34% - 84.85%],05-18-2020
343,OR- MEDFORD,80.86,7,6,10,80.0,83.01,7 [6 - 10],80.86% [80.0% - 83.01%],05-18-2020
344,OR- PORTLAND,82.23,112,101,142,80.67,85.88,112 [101 - 142],82.23% [80.67% - 85.88%],05-18-2020
345,OR- SALEM,82.76,7,7,11,80.46,88.03,7 [7 - 11],82.76% [80.46% - 88.03%],05-18-2020
346,PA- ALLENTOWN,81.11,29,27,40,80.38,83.29,29 [27 - 40],81.11% [80.38% - 83.29%],05-18-2020
347,PA- ALTOONA,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
350,PA- DANVILLE,80.01,0,0,0,80.0,80.33,0 [0 - 0],80.01% [80.0% - 80.33%],05-18-2020
351,PA- ERIE,80.09,0,0,2,80.0,80.9,0 [0 - 2],80.09% [80.0% - 80.9%],05-18-2020
352,PA- HARRISBURG,80.93,21,19,25,80.04,82.23,21 [19 - 25],80.93% [80.04% - 82.23%],05-18-2020
354,PA- JOHNSTOWN,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
355,PA- LANCASTER,81.13,7,7,10,80.5,82.77,7 [7 - 10],81.13% [80.5% - 82.77%],05-18-2020
356,PA- PHILADELPHIA,80.92,111,101,142,80.29,82.6,111 [101 - 142],80.92% [80.29% - 82.6%],05-18-2020
357,PA- PITTSBURGH,80.14,11,10,23,80.03,80.8,11 [10 - 23],80.14% [80.03% - 80.8%],05-18-2020
358,PA- READING,80.46,0,0,4,80.0,82.25,0 [0 - 4],80.46% [80.0% - 82.25%],05-18-2020
359,PA- SAYRE,80.0,0,0,0,80.0,81.06,0 [0 - 0],80.0% [80.0% - 81.06%],05-18-2020
360,PA- SCRANTON,80.75,0,0,3,80.0,82.49,0 [0 - 3],80.75% [80.0% - 82.49%],05-18-2020
362,PA- WILKES-BARRE,80.58,0,0,1,80.0,81.68,0 [0 - 1],80.58% [80.0% - 81.68%],05-18-2020
363,PA- YORK,81.89,14,13,17,80.48,84.33,14 [13 - 17],81.89% [80.48% - 84.33%],05-18-2020
364,RI- PROVIDENCE,84.74,143,127,178,80.99,91.75,143 [127 - 178],84.74% [80.99% - 91.75%],05-18-2020
365,SC- CHARLESTON,81.12,28,26,46,80.34,84.87,28 [26 - 46],81.12% [80.34% - 84.87%],05-18-2020
366,SC- COLUMBIA,81.67,56,51,89,80.43,87.36,56 [51 - 89],81.67% [80.43% - 87.36%],05-18-2020
367,SC- FLORENCE,81.01,7,7,14,80.0,84.25,7 [7 - 14],81.01% [80.0% - 84.25%],05-18-2020
368,SC- GREENVILLE,81.18,28,25,42,80.21,84.89,28 [25 - 42],81.18% [80.21% - 84.89%],05-18-2020
369,SC- SPARTANBURG,80.96,7,7,13,80.47,84.52,7 [7 - 13],80.96% [80.47% - 84.52%],05-18-2020
370,SD- RAPID CITY,80.0,0,0,1,80.0,81.74,0 [0 - 1],80.0% [80.0% - 81.74%],05-18-2020
371,SD- SIOUX FALLS,81.36,35,32,59,80.43,87.14,35 [32 - 59],81.36% [80.43% - 87.14%],05-18-2020
373,TN- CHATTANOOGA,81.26,28,25,32,80.13,82.32,28 [25 - 32],81.26% [80.13% - 82.32%],05-18-2020
374,TN- JACKSON,80.0,0,0,2,80.0,80.96,0 [0 - 2],80.0% [80.0% - 80.96%],05-18-2020
375,TN- JOHNSON CITY,80.51,0,0,3,80.0,82.45,0 [0 - 3],80.51% [80.0% - 82.45%],05-18-2020
376,TN- KINGSPORT,80.17,0,0,9,80.0,82.67,0 [0 - 9],80.17% [80.0% - 82.67%],05-18-2020
377,TN- KNOXVILLE,80.25,7,7,17,80.07,81.72,7 [7 - 17],80.25% [80.07% - 81.72%],05-18-2020
379,TN- MEMPHIS,81.49,91,82,120,80.35,84.43,91 [82 - 120],81.49% [80.35% - 84.43%],05-18-2020
380,TN- NASHVILLE,82.07,174,155,243,80.42,87.35,174 [155 - 243],82.07% [80.42% - 87.35%],05-18-2020
382,TX- ABILENE,80.77,7,7,11,80.0,82.56,7 [7 - 11],80.77% [80.0% - 82.56%],05-18-2020
383,TX- AMARILLO,80.67,7,6,14,80.0,83.13,7 [6 - 14],80.67% [80.0% - 83.13%],05-18-2020
385,TX- AUSTIN,91.11,384,343,478,83.32,108.02,384 [343 - 478],91.11% [83.32% - 108.02%],05-18-2020
386,TX- BEAUMONT,82.47,31,27,42,80.36,87.01,31 [27 - 42],82.47% [80.36% - 87.01%],05-18-2020
388,TX- BRYAN,87.74,44,39,55,81.47,98.95,44 [39 - 55],87.74% [81.47% - 98.95%],05-18-2020
390,TX- CORPUS CHRISTI,81.65,31,27,42,80.19,84.78,31 [27 - 42],81.65% [80.19% - 84.78%],05-18-2020
391,TX- DALLAS,86.93,923,825,1138,82.27,96.36,923 [825 - 1138],86.93% [82.27% - 96.36%],05-18-2020
393,TX- EL PASO,82.95,78,70,99,80.91,87.54,78 [70 - 99],82.95% [80.91% - 87.54%],05-18-2020
394,TX- FORT WORTH,87.83,389,348,482,82.42,99.39,389 [348 - 482],87.83% [82.42% - 99.39%],05-18-2020
396,TX- HARLINGEN,82.27,28,25,39,80.42,86.42,28 [25 - 39],82.27% [80.42% - 86.42%],05-18-2020
397,TX- HOUSTON,85.38,1052,936,1313,81.72,92.66,1052 [936 - 1313],85.38% [81.72% - 92.66%],05-18-2020
399,TX- LONGVIEW,83.09,16,14,23,80.58,88.31,16 [14 - 23],83.09% [80.58% - 88.31%],05-18-2020
400,TX- LUBBOCK,81.84,42,37,58,80.38,85.94,42 [37 - 58],81.84% [80.38% - 85.94%],05-18-2020
402,TX- MCALLEN,82.2,32,29,41,80.44,85.74,32 [29 - 41],82.2% [80.44% - 85.74%],05-18-2020
406,TX- ODESSA,81.53,14,12,20,80.0,83.64,14 [12 - 20],81.53% [80.0% - 83.64%],05-18-2020
411,TX- SAN ANGELO,80.72,0,0,2,80.0,81.89,0 [0 - 2],80.72% [80.0% - 81.89%],05-18-2020
412,TX- SAN ANTONIO,91.47,826,739,993,83.43,106.55,826 [739 - 993],91.47% [83.43% - 106.55%],05-18-2020
413,TX- TEMPLE,88.04,73,65,92,82.45,100.45,73 [65 - 92],88.04% [82.45% - 100.45%],05-18-2020
416,TX- TYLER,83.73,57,51,77,80.69,91.28,57 [51 - 77],83.73% [80.69% - 91.28%],05-18-2020
417,TX- VICTORIA,82.33,14,12,18,80.0,85.22,14 [12 - 18],82.33% [80.0% - 85.22%],05-18-2020
418,TX- WACO,90.48,57,51,72,82.35,104.96,57 [51 - 72],90.48% [82.35% - 104.96%],05-18-2020
420,TX- WICHITA FALLS,82.28,14,13,21,80.58,88.26,14 [13 - 21],82.28% [80.58% - 88.26%],05-18-2020
421,UT- OGDEN,82.13,14,13,20,80.55,87.53,14 [13 - 20],82.13% [80.55% - 87.53%],05-18-2020
422,UT- PROVO,81.93,14,13,21,80.55,86.98,14 [13 - 21],81.93% [80.55% - 86.98%],05-18-2020
423,UT- SALT LAKE CITY,81.24,42,38,64,80.35,84.76,42 [38 - 64],81.24% [80.35% - 84.76%],05-18-2020
424,VT- BURLINGTON,80.31,0,0,7,80.0,83.09,0 [0 - 7],80.31% [80.0% - 83.09%],05-18-2020
426,VA- ARLINGTON,110.71,886,816,1100,95.04,158.53,886 [816 - 1100],110.71% [95.04% - 158.53%],05-18-2020
427,VA- CHARLOTTESVILLE,86.55,88,78,133,81.5,107.16,88 [78 - 133],86.55% [81.5% - 107.16%],05-18-2020
428,VA- LYNCHBURG,82.0,9,7,21,80.0,91.3,9 [7 - 21],82.0% [80.0% - 91.3%],05-18-2020
429,VA- NEWPORT NEWS,93.9,153,139,222,84.65,131.98,153 [139 - 222],93.9% [84.65% - 131.98%],05-18-2020
430,VA- NORFOLK,90.05,269,243,388,83.55,116.61,269 [243 - 388],90.05% [83.55% - 116.61%],05-18-2020
431,VA- RICHMOND,89.1,424,377,604,82.96,113.53,424 [377 - 604],89.1% [82.96% - 113.53%],05-18-2020
432,VA- ROANOKE,81.18,28,24,48,80.0,85.12,28 [24 - 48],81.18% [80.0% - 85.12%],05-18-2020
435,VA- WINCHESTER,87.03,60,54,81,81.61,101.44,60 [54 - 81],87.03% [81.61% - 101.44%],05-18-2020
437,WA- EVERETT,96.93,135,122,161,85.48,118.25,135 [122 - 161],96.93% [85.48% - 118.25%],05-18-2020
438,WA- OLYMPIA,90.53,68,62,86,83.41,108.3,68 [62 - 86],90.53% [83.41% - 108.3%],05-18-2020
439,WA- SEATTLE,90.86,588,529,699,83.4,104.75,588 [529 - 699],90.86% [83.4% - 104.75%],05-18-2020
440,WA- SPOKANE,83.33,122,108,159,80.64,90.0,122 [108 - 159],83.33% [80.64% - 90.0%],05-18-2020
441,WA- TACOMA,94.57,175,158,210,84.48,113.58,175 [158 - 210],94.57% [84.48% - 113.58%],05-18-2020
442,WA- YAKIMA,86.15,35,31,44,80.86,96.93,35 [31 - 44],86.15% [80.86% - 96.93%],05-18-2020
443,WV- CHARLESTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
444,WV- HUNTINGTON,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
445,WV- MORGANTOWN,80.0,0,0,1,80.0,80.45,0 [0 - 1],80.0% [80.0% - 80.45%],05-18-2020
446,WI- APPLETON,84.16,21,20,30,81.13,92.64,21 [20 - 30],84.16% [81.13% - 92.64%],05-18-2020
447,WI- GREEN BAY,81.83,27,25,37,80.44,85.56,27 [25 - 37],81.83% [80.44% - 85.56%],05-18-2020
448,WI- LA CROSSE,83.45,31,28,39,80.73,89.21,31 [28 - 39],83.45% [80.73% - 89.21%],05-18-2020
449,WI- MADISON,85.73,169,153,210,81.86,94.59,169 [153 - 210],85.73% [81.86% - 94.59%],05-18-2020
450,WI- MARSHFIELD,81.19,11,10,18,80.08,84.75,11 [10 - 18],81.19% [80.08% - 84.75%],05-18-2020
451,WI- MILWAUKEE,85.96,489,442,597,82.16,94.67,489 [442 - 597],85.96% [82.16% - 94.67%],05-18-2020
452,WI- NEENAH,84.7,21,20,29,81.25,92.9,21 [20 - 29],84.7% [81.25% - 92.9%],05-18-2020
456,WI- WAUSAU,80.85,0,0,3,80.35,83.36,0 [0 - 3],80.85% [80.35% - 83.36%],05-18-2020
457,WY- CASPER,80.36,0,0,1,80.0,81.71,0 [0 - 1],80.36% [80.0% - 81.71%],05-18-2020
303,NY- NEW YORK,84.35,674,598,850,81.22,91.88,674 [598 - 850],84.35% [81.22% - 91.88%],05-18-2020
